,time_start,time_end,table_id
0,2019-04-22T12:28:21.000Z,2019-04-22T14:01:02.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2019112122821_O02029_02_T04331_02_003_01_V002
1,2019-04-26T16:53:01.000Z,2019-04-26T18:25:42.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2019116165301_O02094_03_T01902_02_003_01_V002
2,2019-04-29T09:45:51.000Z,2019-04-29T11:18:32.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2019119094551_O02136_02_T01179_02_003_01_V002
3,2019-05-03T14:10:24.000Z,2019-05-03T15:43:05.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2019123141024_O02201_03_T00173_02_003_01_V002
4,2019-05-10T11:27:35.000Z,2019-05-10T13:00:16.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2019130112735_O02308_03_T04289_02_003_01_V002
5,2019-06-08T00:07:09.000Z,2019-06-08T01:39:55.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2019159000709_O02751_03_T04442_02_003_01_V002
6,2019-06-14T15:22:31.000Z,2019-06-14T16:55:17.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2019165152231_O02854_02_T02908_02_003_01_V002
7,2019-07-03T13:56:34.000Z,2019-07-03T15:29:21.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2019184135634_O03148_03_T04748_02_003_01_V002
8,2019-07-10T05:13:21.000Z,2019-07-10T06:46:08.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2019191051321_O03251_02_T04484_02_003_01_V002
9,2019-08-04T19:07:51.000Z,2019-08-04T20:40:38.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2019216190751_O03648_02_T05448_02_003_02_V002
10,2019-08-12T21:58:04.000Z,2019-08-12T23:30:51.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2019224215804_O03774_03_T04595_02_003_01_V002
